PREVS;Tipo;Nome;Semana;ENA_Percentual_MLT;ENA_MWmes
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;1;75,785372903742;85215,6181671429
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;2;63,5470462828721;73887,4828
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;3;67,6545039749553;78663,30996
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;4;75,4006149273503;87669,87554
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;5;79,1115183820716;92386,4417785715
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;6;84,4930082121226;98842,60813
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;M;70,4135179151552;81871,2733033163
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;1;62,6131860346783;43444,15176
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;2;65,3830046480318;46267,43065
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;3;72,9695806931786;51635,97226
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;4;78,0528804399804;55233,10304
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;5;83,1686936333576;57776,16085
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;6;88,6882400027902;61151,08993
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;M;70,8963524981235;50168,8793625
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;1;308,829333533585;25115,17815
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;2;142,75679013905;11925,94405
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;3;83,6052779369706;6984,4094
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;4;62,5588470389293;5226,1844
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;5;84,953417194747;6331,9961
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;6;84,4375695735418;5989,3907
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;M;131,329119987211;10971,2731392857
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;1;47,0017363367198;6659,5591
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;2;36,366374310389;5226,6387
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;3;37,3549122803703;5368,7131
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;4;54,6856261249807;7859,5135
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;5;59,4498462937614;8481,3077
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;6;62,9570123157091;8954,9953
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;M;44,5912418626896;6408,731
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;1;48,1602099416218;9996,72915714286
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;2;45,945830272785;10467,4694
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;3;64,4108881718367;14674,2152
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;4;84,9394591177503;19351,0746
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;5;77,357455101209;19796,9771285714
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;6;85,1464567500508;22747,1322
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;M;62,8665884537282;14322,3898015306
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SIN;1;75,785395396974;85215,6181671429
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SIN;2;63,5470718185991;73887,4828
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SIN;3;67,6545311612219;78663,30996
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SIN;4;75,400645226312;87669,87554
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SIN;5;79,1115330775858;92386,4417785715
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SIN;6;84,4930166486862;98842,60813
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SIN;M;70,4135462101031;81871,2733033163
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;PARANA;1;36,6565372330196;13909,99524
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;PARANA;2;47,4142381002633;18128,46355
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;PARANA;3;63,5888475989476;24312,69914
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;PARANA;4;61,9851104262639;23699,52276
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;PARANA;5;67,4088023156299;24759,99665
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;PARANA;6;75,2563193249706;27190,00037
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;PARANA;M;54,3692820500471;20787,6702732143
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;1;89,6032277875096;3386,5648
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;2;54,7579972546369;2088,3025
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;3;46,4900556387318;1772,9885
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;4;37,5871286389003;1433,4581
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;5;52,5749428637815;1759,4875
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;6;59,2138641641887;1871,0402
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;M;53,8613906726862;2054,10866785714
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;IGUACU;1;328,93804214459;14391,98675
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;IGUACU;2;168,315908399813;7487,79475
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;IGUACU;3;87,7002363231687;3901,4813
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;IGUACU;4;61,9813011206862;2757,3345
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;IGUACU;5;78,5607924893121;3209,846
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;IGUACU;6;78,7512009081771;3103,3282
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;IGUACU;M;142,423370982968;6335,92498571429
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SUL;1;285,411922380154;10723,1914
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SUL;2;113,642110476377;4438,1493
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SUL;3;78,940664688979;3082,9281
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SUL;4;63,2167361033555;2468,8499
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SUL;5;92,7092188337024;3122,1501
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SUL;6;91,5453870859469;2886,0625
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SUL;M;118,691533645485;4635,34815357143
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SUDESTE;1;37,0264974809884;3829,96432
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SUDESTE;2;75,7320737451994;7853,2292
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SUDESTE;3;81,9847935794313;8501,62082
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SUDESTE;4;83,972972608042;8707,79008
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SUDESTE;5;85,7226381391276;8529,2612
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SUDESTE;6;92,4854314652394;9046,80276
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;SUDESTE;M;72,8929123472531;7558,81516785714
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;MADEIRA;1;94,0851699908755;9246,935
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;MADEIRA;2;93,9140781017913;9877,4806
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;MADEIRA;3;105,239373730926;11068,6267
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;MADEIRA;4;138,457637076774;14562,3814
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;MADEIRA;5;133,934183189737;15624,7023
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;MADEIRA;6;128,360301647617;15564,0833
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;MADEIRA;M;110,713869582067;11644,4107321429
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;ITAIPU;1;284,181857151072;10885,461
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;ITAIPU;2;153,655828338556;6174,5953
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;ITAIPU;3;84,5657014295431;3398,2374
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;ITAIPU;4;94,5416916163313;3799,1184
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;ITAIPU;5;94,6705613712267;3652,1287
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;ITAIPU;6;96,7357533694009;3669,603
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;ITAIPU;M;138,055097164583;5547,68643214286
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;NORDESTE;1;47,0017363367198;6659,5591
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;NORDESTE;2;36,366374310389;5226,6387
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;NORDESTE;3;37,3549122803703;5368,7131
202102-prevs-ECMWF_ENS_EXT-10-2021-Diaria-IA+SMAP.rv3;REE;NORDESTE;4;54,6856261249807;7859,5135
