PREVS;Tipo;Nome;Semana;ENA_Percentual_MLT;ENA_MWmes
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;1;75,785372903742;85215,6181671429
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;2;63,5470462828721;73887,4828
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;3;68,833446915304;80034,09163
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;4;91,4890125548857;106376,19271
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;5;96,6949319814617;112920,354538571
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;6;98,656633443371;115411,66737
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;M;75,9917976357897;88357,2560676021
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;1;62,6131860346783;43444,15176
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;2;65,3830046480318;46267,43065
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;3;73,8537033511156;52261,61013
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;4;89,841318637248;63575,03761
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;5;95,6567614699466;66451,45181
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;6;97,7139079147113;67374,34377
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;M;74,940172862846;53030,4361125
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;1;308,829333533585;25115,17815
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;2;142,75679013905;11925,94405
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;3;86,5584361277964;7231,1171
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;4;58,5435067919174;4890,7417
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;5;81,4031175194966;6067,3748
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;6;79,2556473094349;5621,8226
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;M;130,837318126784;10930,1878678571
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;1;47,0017363367198;6659,5591
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;2;36,366374310389;5226,6387
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;3;37,6947453425338;5417,5545
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;4;54,6120297450299;7848,9361
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;5;58,9282276910279;8406,8919
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;6;74,9429686495234;10659,8758
202102-prevs-ECMWF_ENS_EXT-01-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;M;44,6208169682204;6412,98158571428
