Submercado
Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021; ;Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021
SIN;63,4997507524238;68,7434881004057;87,214743911324;93,0467324547931;91,3225015933714;83,6766391238101;77,3404008783953;77,847615283418; ;63,8844964825763;62,8689882306655;63,5594282565079;64,5000340279183;64,2482031528285;62,7707666318372;62,5367030845684;63,3192504597064;64,5528014825301;66,1024796965295;68,2451339618977;70,4660329114543;72,5843316452432;75,9344087073738;78,7901315631656;81,7027546504106;85,2436594158868;88,5149021804259;90,9292401863131;92,3284821687784;92,9972116041191;93,3065701381499;93,4741304876017;92,1118495242672;92,427147169361;92,854810032922;93,289700379788;93,8697764208792;94,3345281404688;94,0754353500447;93,0896568059666;91,7308752940552;90,1833617679527;88,6608589915384;87,1829102469214;85,5375648167626;83,9188577103025;82,2025210484883;80,5163601627201;81,4713270018284;84,0545962382451;88,0331019362084;87,8830668595717;83,9201929042903;79,770311983899;76,2214536737525;73,3737759599771;71,0595100705117;69,1544343197095;67,7850890514055;66,8701925664469;66,9770419073841;67,133215741407;66,6880424258867;75,770851182217; ;SIN;73832,4912953286;79929,4946301816;101406,410959989;108659,98664196;106831,966685142;97887,5936075802;90475,2605972851;77799,8767000653; ;74279,8432209;73099,0904891;73901,8795803;74995,5416279;74702,7325905;72984,8861772;72712,7355843;73622,6198213;75056,8954535;76858,7387976064;79350,0478267313;81932,3335903441;84395,3239323559;88290,5287575338;91610,937584242;94997,5055028158;99114,5896988452;102918,132233672;105725,333642992;107352,261627216;108129,807359738;108489,505012096;108684,33094284;107755,370998264;108124,216210877;108624,509829594;109133,258388136;109811,84978911;110355,531131143;110052,436145;108899,241053512;107309,695227674;105499,364689407;103718,29252154;101989,341077018;100064,563666047;98170,9486133147;96163,1234018256;94190,5987728326;95307,749351945;98329,7398601819;102983,922353715;102808,406549513;98172,5105657046;93317,8478867452;89166,2805715177;85834,9766175077;83127,6747796235;80899,0565793841;79297,152935359;78226,8779308847;78351,8736880329;78534,5708058551;78013,7929035531;75724,3861353213
SUDESTE;65,4128250031883;73,7090919870992;90,8190039661106;92,5917361531068;90,6419446712304;74,468083275167;63,6214898720569;77,9232333763104; ;60,3995724984397;61,5563206268981;64,8678947254819;68,1354758285663;68,9077312270669;67,3191479425341;66,5960619383173;67,8068699660717;69,5221059170932;71,3693447928597;73,3536386844518;75,3566859675189;77,4193908230336;81,1356923530314;83,9746746932669;86,8663075758408;90,0635656879565;92,8637301068667;94,304506813818;94,2619595102127;93,4035033941282;92,1787679250863;90,9982163281664;92,731262490911;92,6295196097405;92,8385622186355;93,1354250020194;93,6877052918448;94,5406192045727;94,4491489148403;93,227613638728;91,4215675830711;89,2939811787956;87,0038477110887;84,5570172567404;81,8582738696496;79,1829749488342;76,7799209299401;74,4586339714028;72,1331007202613;69,4438202559671;67,4201255022635;65,8839285981497;64,9588490823879;64,5204994311355;63,7889356498338;62,7876860328631;61,9731325199632;61,4373112788757;61,057329452913;61,0308671231611;61,3488920310278;61,9775139485979;62,5077832544876;79,7169418874583; ;SUDESTE;46288,5326354714;52159,2777839745;64266,8838840307;64322,2203891516;62498,1813805992;51346,2039288546;43867,4107020766;42659,2382536103; ;42740,9698729;43559,5276021;45902,9198303;48215,1809889;48761,6574515;47637,5172052;47125,8348233;47982,6473353;49196,4116895;50503,5861920882;51907,7458894388;53325,176179724;54784,8223732218;57414,6146906484;59423,5835236121;61469,8098263028;63732,30783735;65713,8076744705;66733,3545235309;66703,2464789481;66095,7712026004;65229,103118386;64393,7011751245;63938,7789376104;63868,6265918653;64012,7627634179;64217,4514883606;64598,2521634965;65186,341580742;65123,2722503192;64281,0161234657;63035,7361995014;61568,7522167592;59989,6910285899;58302,5862991172;56441,786044689;54597,1508947383;52940,2302882247;51339,6885754747;49736,219017715;47881,9435070738;46486,5934598668;45427,3761946387;44789,5281478292;44487,2833525364;43982,8656013385;43292,4977987096;42730,8581143661;42361,4060551178;42099,4062363088;42081,1602963018;42300,440436942;42733,8791365045;43099,5031021008;43641,2077564036
SUL;142,738281127009;86,5195106643946;59,3743398964665;55,8582118237031;58,2360326115058;139,803510987205;212,027129572556;116,779597650957; ;198,044138641075;176,042421697129;155,348174015204;136,309966650268;121,294167139843;108,820882981409;102,415029147922;97,9010204189754;93,3289917832693;84,5139741431055;87,2078362151878;86,6305080494227;81,416847670093;74,6371805467104;69,1468850255305;64,7396127724862;61,0343868174781;57,8872516058413;55,3842595537248;54,0484168851045;53,3792428791031;52,4374261791008;51,0159690775371;57,6862142750351;55,4994012286055;55,0839899811058;57,9776929133231;62,7754518915496;64,1124408983709;61,0854986188398;57,3482658903416;54,7807882766809;53,0620249798139;55,9464854837833;61,3168512248849;68,9883784013098;77,248231668387;80,9502900085273;85,3005793817717;132,07970561697;220,328747084499;313,690898373057;335,543335734696;289,623523287472;235,173179875697;193,892166985307;164,452718789054;141,501236347301;124,003364711842;112,529884960039;106,087940602823;112,259060963894;114,769910382097;107,543424626856;105,53983560031; ;SUL;11924,3978017143;7227,86525538933;4960,14974083707;4163,38731389527;4130,84310562089;9916,65028687051;15039,6716109115;7699,6554090346; ;16544,665333;14706,635457;12977,831946;11387,374528;10132,95024;9090,928429;8555,781524;8178,679913;7796,731302;7060,32214714328;7285,36817345683;7237,13800943663;6801,58729469287;6235,21191799569;5776,55102249797;5408,3662079492;5098,8305467103;4835,91794959175;4626,81726063635;4515,22057294079;4459,31758053312;4380,63793763387;4261,88899514076;4091,84296803073;3936,72626122504;3907,25999076017;4112,5183552337;4452,83668924264;4547,67302292564;4332,96362247718;4067,87135299507;3885,75305400348;3763,83641242144;3968,43918585803;4349,37410366542;4893,53677624516;5479,43104808477;5742,02830076838;6050,6063762153;9368,77937719441;15628,5283363255;22250,9643382601;23801,018251076;20543,7987573575;16681,4850729466;13753,3084811637;11665,0868740011;10037,0746493228;8795,90214551293;7982,05644543943;7525,11148814261;7962,84614921654;8140,94765344548;7628,35300162495;6958,5816563386
NORDESTE;35,8478072671194;37,6978097511831;54,5837227636112;72,4810557277098;84,4919944598545;84,1336718563747;78,1197871057194;81,3531783261527; ;39,3325879973622;37,7417708507286;36,4641097031936;35,2686934182581;34,1612042746321;33,8071697147803;34,1591149108805;33,6283974046491;34,630284349955;34,9980553390189;36,6193082976309;38,7328713870697;41,1973290392103;44,0784224407477;47,0989882307522;50,0355596067099;52,6660572603945;54,9308287644503;57,0484825938782;58,9362941646401;61,3698487244535;63,6436101230765;66,3027862039556;69,8255308971505;72,6371113836483;76,5448341145465;78,4903285580827;80,0796277297067;81,5181486320527;82,7009506800883;83,8727035273509;85,0509560166036;85,9649799699349;86,2416867898824;86,0945356030694;85,7331013154615;85,3467604349235;85,0190080795261;84,6960461401057;84,6293805400817;81,8774231204738;81,6339833640512;81,253373246124;80,6906848544745;79,8116298017775;78,7478707054806;77,3742211274;75,455778089366;73,5049519154132;71,3984439083353;69,1763411205216;67,1385517867537;65,2050915813756;63,3951999881206;75,880290914495; ;NORDESTE;5152,10934071429;5417,99492215212;7844,86777129336;10340,382261208;12018,1276945194;11967,159945066;11111,7459459581;9440,42182687711; ;5652,948101;5424,313088;5240,685401;5068,878089;4909,707819;4858,825355;4909,407532;4833,131887;4977,124825;5029,98151254803;5262,99081349311;5566,7557845036;5920,95193365091;6335,02769886923;6769,1486788489;7191,19783524523;7569,25754281084;7894,75445071605;8199,10735000766;8470,42691928442;8820,18162214048;9146,97057336166;9529,1519944682;9931,97227766105;10331,8910335877;10887,7248859538;11164,4517025104;11390,5133609134;11595,1283425593;11763,3699155214;11930,0398519437;12097,6342963967;12227,644916423;12267,0036499614;12246,0728888304;12194,6625339274;12139,7094692542;12093,0900269682;12047,1519726799;12037,6694684611;11646,2314879736;11611,6046561973;11557,4667342756;11477,4300280018;11352,3933787741;11201,0844561095;11005,6967611873;10732,8177321959;10455,3325311628;10155,7031712402;9839,63162830865;9549,77680141864;9274,76173296092;9017,32304400548;8805,33458332875
NORTE;45,9457517791625;66,3867356978928;106,813710503045;116,577497842051;105,500643690254;92,297591778491;76,5719703056329;66,6788725691173; ;41,0024549527333;41,2980999647941;42,9301992171086;45,3165609346525;47,8374287294025;50,0286050936404;53,2069488174058;55,4299521082347;57,4423434428898;62,6140190609855;65,3753594817272;69,3667246725412;74,1278929273658;80,3507876803059;86,2149276947805;91,8617812201065;99,7015087362255;107,424461947575;114,853079902057;121,425374799587;126,214944987785;130,508896285665;133,874662140269;111,519525197075;112,246432632392;111,60930660928;110,943301208398;109,937925050702;108,650799778494;107,926279293652;107,130792723304;105,896511112536;104,581008307053;102,911656025003;101,407458591737;99,3235237167243;97,1527785312454;95,0308394385038;92,6553358358097;90,4540865959517;86,7406904404233;84,7258277604429;82,4342027093904;79,9607447560475;77,8455990187174;75,7207341337142;74,3831978301609;73,4669779455486;72,192395876187;71,3448337793363;70,3004414126496;69,3939787911004;68,8181738709533;68,3825863131645;60,4508930514754; ;NORTE;10467,4515174286;15124,3566686657;24334,5095638276;29833,9966777049;28184,8145044025;24657,5794467891;20456,4323383388;18000,5612105433; ;9341,259914;9408,614342;9780,442403;10324,108022;10898,41708;11397,615188;12121,711705;12628,160686;13086,627637;14264,848945827;14893,9429503425;15803,2636166798;16887,9623307903;18305,6744500205;19641,654359283;20928,1316333186;22714,1937719741;24473,6521588936;26166,0545088167;27663,3676560431;28754,536954464;29732,7933827143;30499,5887781062;29792,7768149623;29986,9723241994;29816,7621894625;29638,8368420316;29370,2475754579;29026,388184916;28832,8303566826;28620,313725108;28290,571677772;27939,1311438033;27493,1586571307;27091,3077854045;26534,5783111852;25954,6572012375;25387,7747858643;24753,1518484626;24165,0814885745;23173,036528809;22634,7598993903;22022,5453695228;21361,7536325161;20796,6860824881;20229,0220329059;19871,6951836098;19626,9242837387;19286,4158475905;19059,9870823705;18780,9745181316;18538,8103004558;18384,9822829442;18268,6137558218;16319,2621392503

REE
Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021; ;Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021
SIN;63,4997762691455;68,7529851279539;86,8720990039753;93,260792946922;92,0003456129398;83,5959726866066;77,0966477107497;77,7006524968819; ;63,8845221539042;62,8690134939218;63,5594537972105;64,5000599465936;64,2482289703082;62,7707918556242;62,5367282142994;63,319275903896;64,5528274224095;66,6057744065787;68,0399225791217;70,0174359490385;72,4346177913019;76,3010640052351;79,3718216965704;82,1067084156723;84,9917748651771;87,4715427259237;89,6715209061937;91,5385987483201;92,9559531039199;94,0159541968452;94,6409295923216;93,0977808276111;92,8540353663839;92,6255215512339;92,5586829778012;93,0482794349948;93,8021481345347;94,1044394735888;93,8161840597112;92,9165263959768;91,4712347569996;89,8273442276117;88,0646137518447;86,0223979096968;84,056932393586;82,0978598181075;80,2829852026944;81,2085296202771;83,7792634480864;87,7216866747342;87,5494125744798;83,6236233938362;79,5164333799339;76,0083762004396;73,2067249999686;70,8892406513436;68,8826887583871;67,4003972986179;66,5415902441248;66,7788935783124;67,0419890056503;66,7458916140791;75,9951280880726; ;SIN;73832,4912953286;79940,5048999209;101007,969954604;108909,946282603;107624,919430377;97793,2176793326;90190,1013842993;77653,0131116551; ;74279,8432209;73099,0904891;73901,8795802999;74995,5416279;74702,7325905;72984,8861772;72712,7355843;73622,6198213;75056,8954535;77443,8989871187;79111,4124601848;81410,7077845012;84221,2146526152;88716,8109083266;92287,2438111861;95467,1526509581;98821,6785412014;101704,955455706;104262,915174433;106433,804847213;108081,79180513;109314,276800585;110040,948501769;108908,733917944;108623,592754057;108356,270052382;108278,080171327;108850,825620355;109732,725112238;110086,355099098;109749,144782253;108696,696740572;107005,948785638;105082,873555876;103020,775591266;100631,726789261;98332,4629505735;96040,6777764047;93917,5799449919;95000,3111315752;98007,6370198815;102619,60863044;102418,076929267;97825,5643527928;93020,8433336871;88917,0068884562;85639,5465407387;82928,479917671;80581,151933482;78847,1204158052;77842,4607112111;78120,0656707614;78427,8430381299;78081,4589272977;75948,534384339
PARANA;47,3642311590583;63,0180408630151;69,2139201250939;74,165354286535;81,9018305523174;61,2011444343682;46,9871292074665;62,8080478948415; ;37,370979993274;40,574372423938;44,8047329268034;48,5946432869164;51,6553678272071;53,6257853365221;54,9237186411271;56,6395835368721;59,7491867595938;62,5559062715385;64,6476975839906;65,5418931905291;65,9477253390141;66,0442522887663;65,9850349228762;66,6734146119089;68,3020189429846;69,8976673649296;71,1276099526512;71,6123412598732;70,8996988762606;69,0901216179077;68,0073217156022;72,1913059735196;73,7733880123216;76,2373520530293;78,9263045198353;81,585985270162;83,9274756762355;85,6039619670138;85,8372040767623;84,3885554631398;81,4889596479882;77,9009893986296;74,1652041629851;70,4742240770496;66,9025112311665;63,5077317267263;60,5565544670176;57,9601769534835;55,5841256321465;53,4224374286103;51,3121258984475;49,5052222646945;47,5030431555341;45,9360087200704;45,1077420997069;44,7576148175824;44,7882296803366;45,0266567845514;45,3305061392111;46,0989034808516;46,937299541219;47,4989690801251;64,2927501285486; ;PARANA;18109,3437866714;24094,4556435092;26463,4016787756;27241,752717729;29591,0140569721;22111,8858155842;16976,3824751969;16763,475268153; ;14288,5022681;15513,2943399;17130,7396317;18579,7822521;19750,0263705;20503,4001128;20999,6547727;21655,7023117;22844,6348125;23917,7620925328;24717,5421603218;25059,4308652595;25214,597616978;25251,5039421725;25228,862644915;25492,0592415744;26114,7433853298;26724,8270946721;27195,0860350974;27380,4192638194;27107,9460154212;26416,0682866346;26002,0682025379;26082,6154366479;26654,2194109885;27544,4460893517;28515,960763776;29476,899608967;30322,8767385761;30928,5888339249;31012,8588740657;30489,4642051036;29441,8443906615;28145,5158792133;26795,7820249599;25462,2362071146;24171,7814722539;22945,2525002055;21878,9963837336;20940,928907316;20082,4649685295;19301,4501171365;18538,997584238;17886,1658896909;17162,7814456046;16596,6141487949;16297,3626053213;16170,8621198351;16181,9232258935;16268,0665971076;16377,8469336923;16655,467792524;16958,379088161;17161,3094879953;17159,742466538
