PREVS;Tipo;Nome;Semana;ENA_Percentual_MLT;ENA_MWmes
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;1;75,785372903742;85215,6181671429
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;2;63,5470462828721;73887,4828
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;3;67,6405445981766;78647,0791
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;4;71,8538588835437;83545,98794
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;5;75,8995680060224;88635,5256985714
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;6;81,3877310081977;95209,9561
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;M;69,2929118243699;80568,3211111735
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;1;62,6131860346783;43444,15176
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;2;65,3830046480318;46267,43065
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;3;72,6350392922131;51399,2384
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;4;74,4411024462014;52677,27544
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;5;79,6647955292662;55342,05047
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;6;86,2883138405616;59496,326
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;M;69,6640745910384;49296,8739703572
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;1;308,829333533585;25115,17815
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;2;142,75679013905;11925,94405
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;3;84,2664439221104;7039,6434
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;4;58,4591068004625;4883,6909
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;5;81,8678446607781;6102,0132
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;6;80,8710642744951;5736,4086
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;M;130,272836581644;10883,0309142857
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;1;47,0017363367198;6659,5591
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;2;36,366374310389;5226,6387
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;3;37,8699269085683;5442,7319
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;4;51,9419619308506;7465,1893
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;5;54,8821069152502;7829,6592
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;6;55,3769847575847;7876,8134
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;M;43,7102153120399;6282,10832857143
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;1;48,1602099416218;9996,72915714286
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;2;45,945830272785;10467,4694
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;3;64,8114211030872;14765,4654
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;4;81,2908105120653;18519,8323
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;5;75,656994664506;19361,8028285714
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;6;82,7256563992327;22100,4081
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;M;61,9181201958211;14106,3078979592
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;REE;SIN;1;75,785395396974;85215,6181671429
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;REE;SIN;2;63,5470718185991;73887,4828
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;REE;SIN;3;67,6405717788338;78647,0791
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;REE;SIN;4;71,8538877572779;83545,98794
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;REE;SIN;5;75,8995821048944;88635,5256985714
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;REE;SIN;6;81,3877391347017;95209,9561
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;REE;SIN;M;69,2929396690138;80568,3211111735
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;REE;PARANA;1;36,6565372330196;13909,99524
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;REE;PARANA;2;47,4142381002633;18128,46355
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;REE;PARANA;3;62,9961012399058;24086,0672
202102-prevs-ECMWF_ENS_EXT-26-2021-Diaria-IA+SMAP.rv3;REE;PARANA;4;57,2111488911788;21874,23586
