PREVS;Tipo;Nome;Semana;ENA_Percentual_MLT;ENA_MWmes
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;1;75,785372903742;85215,6181671429
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;2;63,5470462828721;73887,4828
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;3;68,648421060442;79818,95819
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;4;94,4681135194013;109840,05585
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;5;94,5113750307008;110370,396438571
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;6;99,1398445670508;115976,94311
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;M;76,5336667352455;88987,2986283163
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;1;62,6131860346783;43444,15176
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;2;65,3830046480318;46267,43065
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;3;74,2141751387556;52516,69329
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;4;100,221713464525;70920,58865
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;5;100,552818125023;69852,67581
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;6;104,243967897466;71876,86051
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;M;77,968707609233;55173,5392339286
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;1;308,829333533585;25115,17815
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;2;142,75679013905;11925,94405
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;3;83,0695376553629;6939,6535
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;4;57,0752428457166;4768,0825
202102-prevs-ECMWF_ENS_EXT-28-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;5;77,1628861928635;5751,3295
