Submercado
Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021; ;Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021
SIN;63,4997507524238;67,7476876230243;81,5631727258406;90,8263035526168;102,753196658734;102,988320632479;85,6670451470569;88,6434608756718; ;63,8844964825763;62,8689882306655;63,5594282565079;64,5000340279183;64,2482031528285;62,7707666318372;62,5367030845684;63,3192504597064;64,5528014825301;65,6720669090161;67,6650136118407;69,5131268872302;70,8431469832253;72,6684200447601;74,8754544358684;78,1263049241789;81,3916165087815;83,5091180646419;84,3918285925527;84,4578599090301;84,1926591989538;84,8759978959622;87,0315875339844;88,5590842455447;91,3924638446115;93,3995429988873;94,7138188756127;95,7525105350667;97,6374276958407;99,8872754509899;101,559926094844;102,737794420853;104,263762505399;106,041918261911;107,141002889774;106,99223066442;106,69310603185;106,10295295886;104,628591971683;102,089988485828;98,7904250288255;95,6210957454843;92,3184378995955;89,3851769517008;87,03866783647;85,0392253314777;83,51473668137;81,9761948009531;80,3970157367322;78,957395833889;77,7967922792145;76,6372571569358;75,5786339239897;74,5740200773194;84,2533660926943; ;SIN;73832,4912953286;78771,6565409457;94835,2106731718;106066,969472151;120203,957301959;120479,012804072;100216,033874276;88589,1019434132; ;74279,8432209;73099,0904891;73901,8795803;74995,5416279;74702,7325905;72984,8861772;72712,7355843;73622,6198213;75056,8954535;76358,2888271587;78675,5297351121;80824,3697809569;82370,8120267388;84493,0952771533;87059,2604280264;90839,0924358149;94635,7386633987;97097,8021099225;98124,1481442929;98200,9241401239;97892,5697153237;98687,1019426286;101193,451200692;103599,233186944;106913,810751646;109261,755777274;110799,237495663;112014,332032309;114219,368072831;116851,311528509;118808,031446845;120185,93927425;121971,065269776;124051,20842427;125336,952576033;125162,914095424;124812,988587209;124122,608753842;122397,854382074;119428,115289345;115568,181021626;111860,598832083;107997,044649835;104565,622706756;101820,601717943;99481,5902875151;97698,194981445;95898,3597596259;94050,985867812;92366,8727213652;91009,1617725376;89652,7007099059;88414,2895847071;87239,0603572294;84201,699303348
SUDESTE;65,4128250031883;72,7965977518028;89,8532559008868;103,182908284799;113,36568505016;116,841995053863;88,2480501905059;93,5175351680921; ;60,3995724984397;61,5563206268981;64,8678947254819;68,1354758285663;68,9077312270669;67,3191479425341;66,5960619383173;67,8068699660717;69,5221059170932;71,2380748822867;72,9415421143144;74,5161174985706;75,7756836916717;77,7756997031325;80,5202629010917;85,1710647081693;89,8535591490411;92,8697321968164;93,9369118085305;93,70224968569;92,9233959453749;92,8736733734924;95,3763666518132;101,652263068686;105,41918804582;108,061587469038;109,635845715833;109,73797473084;109,685776407147;109,56632031882;110,157275399233;112,05283990049;114,314894706453;117,401529402853;120,380820419743;121,591954614157;122,186288897822;121,788503484077;119,845742005279;116,102657917548;110,912834725943;105,466271442619;99,990989663987;95,0928924571061;90,9708152064983;87,3856308597889;84,0964169110638;81,1961300993647;79,0036904485315;77,0627430878034;75,7608846505049;74,6036985375182;73,6192691682188;72,6868748835051;90,3943580215935; ;SUDESTE;46288,5326354714;51513,5631372192;63583,484858953;71679,7636898586;78166,3408954819;80563,2781405362;60847,5763322962;51196,371618209; ;42740,9698729;43559,5276021;45902,9198303;48215,1809889;48761,6574515;47637,5172052;47125,8348233;47982,6473353;49196,4116895;50410,6947516204;51616,1311252876;52730,3588636187;53621,6744555237;55036,9597059843;56979,1140641343;60270,1933168272;63583,6994485551;65718,0549751566;66473,2307114489;66307,1751201962;65756,0294270531;65720,8438974388;67491,8421609213;70089,8640034538;72687,1820698514;74509,1328127585;75594,5936091367;75665,0121965496;75629,0211295694;75546,6554179515;75954,1226003624;77261,1260461499;78820,8268234083;80949,0805343251;83003,3201144064;83838,4046311084;84248,2017950589;83973,9262923765;82634,3802387082;80053,5006129856;76475,0854285075;72719,6463631081;68944,4057175991;65567,1374036216;62724,9396484018;60252,9328705657;57984,9995124207;55985,2338203805;54473,5331230842;53135,2379150437;52237,5984718338;51439,7114908906;50760,9413530474;50118,049727811;49486,5817105277
SUL;142,738281127009;84,4934885778545;57,5679681329969;61,9522048272928;138,2470211945;87,812677239889;61,7141009028396;55,0418001928227; ;198,044138641075;176,042421697129;155,348174015204;136,309966650268;121,294167139843;108,820882981409;102,415029147922;97,9010204189754;93,3289917832693;84,0366878373931;85,1605691221874;82,6771824772617;77,0598094915556;71,2909142983331;66,5972399398332;62,6992470741267;59,3935643556366;56,53314697413;54,2358491359366;52,2210995226215;51,2954141046954;51,9164447579672;52,5263770744721;63,7087750900337;65,4993782390069;64,329637567846;64,2832200912011;74,8609392011696;101,851591471418;136,862467071957;154,577131987736;150,586067065223;148,875599237722;144,843022020576;130,082305544778;114,45372879685;102,345872733339;92,7441609817305;84,9257766379109;78,4657620121729;73,1086533423037;68,6444048983908;64,8335902234724;61,5335743095933;58,7004889796029;58,0247542116374;62,7915194019081;64,7211769647331;61,3934751367553;57,7199645412317;54,4074041022672;51,745273497591;49,5642571688189;47,6454593620915;49,3716535629653; ;SUL;11924,3978017143;7058,61077702367;4809,24491477832;4617,60259100061;9806,24415443261;6228,79643574553;4377,55212369532;3629,0833596154; ;16544,665333;14706,635457;12977,831946;11387,374528;10132,95024;9090,928429;8555,781524;8178,679913;7796,731302;7020,44950940596;7114,33888103054;6906,87603353269;6437,59904943786;5955,66385575865;5563,55292545638;5237,91346005208;4961,75575778541;4722,79565215213;4530,87871805888;4362,56594540721;4285,23391453615;4337,11499715954;4388,06892147963;4519,03988899516;4646,05233028186;4563,07938432135;4559,78686412757;5310,09378063916;7224,61550966125;9708,0338953372;10964,5841470326;10681,4868569197;10560,158635958;10274,1167637986;9227,09825732101;8118,52001778814;7259,67624871717;6578,60023765224;6024,02057939818;5565,79384790088;5185,7992908778;4869,13778288433;4598,82614212233;4364,7468723818;4163,78828234361;4115,85654348186;4453,97640225901;4590,85235829778;4354,80924998087;4094,23696789953;3859,26788024664;3670,43558241569;3515,73005285022;3379,62440939273;3255,23230988759
NORDESTE;35,8478072671194;36,6635817877693;49,490980066117;57,6926174099719;64,4955340304706;66,9017521239602;71,4578977410499;87,9226724004292; ;39,3325879973622;37,7417708507286;36,4641097031936;35,2686934182581;34,1612042746321;33,8071697147803;34,1591149108805;33,6283974046491;34,630284349955;34,3422789121027;35,5903706069366;37,3743860249849;39,3292210999091;41,7501341158482;44,2750495534426;46,6061872625495;48,7363764208039;50,3239833413507;51,6173741674007;52,3200741139213;52,5578156033504;53,3202955520299;54,2898598561797;55,9769170872264;57,4747215195026;59,8106059226735;61,0510398246406;62,005885575326;62,7388730744947;63,3453622700865;64,1057364974622;64,6506512280744;65,2694987159802;65,6109202277337;65,7476961994629;66,0330429036218;66,2573242304397;66,4454854466082;66,859809970671;67,4942864267588;67,3529948823069;67,8693210073149;68,7752461947795;69,6743469353656;70,7382129882459;71,7257603042414;72,6143763236488;73,1326930067017;73,5446484343669;73,6469177018131;73,3469971142551;72,7074573721407;71,6347290202196;70,2918538864412;84,2680425827159; ;NORDESTE;5152,10934071429;5269,35387666147;7112,9299145062;8230,61573371463;9173,83438111059;9516,0944554915;10164,1598748375;10202,7619901797; ;5652,948101;5424,313088;5240,685401;5068,878089;4909,707819;4858,825355;4909,407532;4833,131887;4977,124825;4935,73218149803;5115,11009521828;5371,51190051742;5652,46420462977;6000,40204276686;6363,28729021339;6698,32246478032;7004,47696337911;7232,65059709071;7418,53898090263;7519,53224197468;7553,70086320263;7663,28581037741;7802,6332820543;7962,14767802003;8175,19513942261;8507,45096101152;8683,89007960204;8819,70718551446;8923,96720943521;9010,23413501278;9118,3896427463;9195,89822633445;9283,92299342193;9332,48673430816;9351,94172651531;9392,52939579352;9424,43113562608;9451,19515673277;9510,12861035747;9600,37643936395;9580,27915281941;9653,72129774725;9782,57995062002;9910,46789526707;10061,7920314189;10202,2606027183;10328,6572023122;10402,382483896;10460,9789576304;10475,5257217735;10432,865065666;10341,89703567;10189,3123275288;9998,30198461155;9778,66980582789
NORTE;45,9457517791625;65,5341931546727;84,8449835260978;84,1644279504835;86,3083589539318;90,475655822243;92,9308097861947;87,2757925997748; ;41,0024549527333;41,2980999647941;42,9301992171086;45,3165609346525;47,8374287294025;50,0286050936404;53,2069488174058;55,4299521082347;57,4423434428898;61,4137987067777;65,0944677056537;69,4209747819766;73,1232136276768;76,8146722206986;79,681983419615;81,7860695774878;83,7750933169958;85,260878016395;86,4776125251713;87,8389873898638;89,0941546703585;92,0273736997639;94,4198102467294;78,7121269088756;80,1240503448412;81,1598290816538;82,2037039897335;83,1715086457273;84,0034115117044;84,5447636608544;85,2355549665225;86,2705164976798;87,2389827420778;87,9478183825469;88,9175551116386;89,1379066359347;89,3895203351695;90,2811728731459;90,6945610157178;90,6164014451907;91,0602398297476;92,1497886207945;92,3486987928242;92,5434849044196;93,093024736923;93,2444679678674;93,3194122618292;93,2794697307418;92,6872003042591;92,3136599854768;91,6307488629313;90,5872504048613;89,6426578293266;88,87447776663;80,3129961911785; ;NORTE;10467,4515174286;14930,1287500413;19329,5509849342;21538,987457577;23057,537870934;24170,8437722987;24826,745543447;23560,8849754091; ;9341,259914;9408,614342;9780,442403;10324,108022;10898,41708;11397,615188;12121,711705;12628,160686;13086,627637;13991,4123846344;14829,9496335757;15815,6229832881;16659,0743171475;17500,0696726435;18153,3061482223;18632,6631941552;19085,8064936791;19424,300885523;19701,4997338825;20011,6508325458;20297,6055105319;20965,8572376529;21510,9068362372;21028,1816164747;21405,3812120899;21682,0926191821;21960,9669427967;22219,5188696055;22441,7642241655;22586,388080207;22770,9350567039;23047,4281448457;23306,1568169879;23495,5243918378;23754,59247779;23813,4600507338;23880,6794078073;24118,8870670802;24229,3249536102;24208,4443890943;24327,0171494216;24618,0933883431;24671,2328394934;24723,2705354857;24870,0817557789;24910,5402707492;24930,5618644532;24919,8910970516;24761,6645371166;24661,8721166485;24479,4303547911;24200,6566009296;23948,3058512807;23743,084235414;21681,2154771048

REE
Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021; ;Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021
SIN;63,4997762691455;67,7214074934816;80,862448338845;91,1003984082375;104,280867410676;102,229753142159;85,9753095417038;88,1420461517535; ;63,8845221539042;62,8690134939218;63,5594537972105;64,5000599465936;64,2482289703082;62,7707918556242;62,5367282142994;63,319275903896;64,5528274224095;66,1753624540811;67,4404899196172;68,9488951443085;70,5651274582559;73,0478960094207;75,521774504565;78,4181287230001;80,4975305997355;81,45597750671;82,2806976407507;83,319515274987;84,5461289954005;86,5966111686986;89,1292412837828;89,7389443407016;91,3095086349312;92,3929665551192;93,3948494826857;95,1014149383619;98,2097125255054;101,459574928806;103,648673731055;104,790494427214;106,095724801554;107,606172047522;108,152450121222;107,302358965228;106,204769128468;104,791147407276;102,851059076906;100,652053429468;98,1136455632728;95,6934112443137;93,059300800472;90,4132878651156;87,84927567135;85,3911104411189;83,4644330531326;81,6671836882783;79,9826793344375;78,5138141729078;77,330416881962;76,1612342927518;75,1060570989905;74,15200411337;83,914528691871; ;SIN;73832,4912953286;78741,0684421481;94020,4259585349;106387,03771918;121991,062951239;119591,604488111;100576,641324336;88088,0049982191; ;74279,8432209;73099,0904891;73901,8795802999;74995,5416279;74702,7325905;72984,8861772;72712,7355843;73622,6198213;75056,8954535;76943,4501886616;78414,4398216135;80168,2934911099;82047,5199271996;84934,2858059521;87810,715034368;91178,3654448893;93596,1286242873;94710,5344863851;95669,453488864;96877,3080427461;98303,5169549051;100687,654602408;103632,395543442;104979,460567121;106816,756443572;108084,219849166;109256,254243598;111252,648588056;114888,833595332;118690,625610186;121251,502753064;122587,240783278;124114,140632845;125881,109681364;126520,163081402;125525,699511044;124241,704141658;122588,004660045;120318,427857341;117745,961373051;114776,451418924;111945,184624814;108863,718762915;105768,328989298;102768,866281479;99893,2267054796;97639,3384481164;95536,8591932826;93566,2726247825;91847,9476162133;90463,5719680173;89095,8251283201;87861,4454126057;86745,3639998064;83863,0794899658
PARANA;47,3642311590583;64,174259376243;84,0702382718253;108,422147958844;112,118157406213;97,5380375670121;77,0654482770563;81,6279077335388; ;37,370979993274;40,574372423938;44,8047329268034;48,5946432869164;51,6553678272071;53,6257853365221;54,9237186411271;56,6395835368721;59,7491867595938;62,5899427667866;65,4117582644686;67,5413772342739;68,3747092711464;68,9130660396128;70,1021803418741;74,1682592588059;80,6739549219843;86,6419908742298;91,0058306988578;92,9273889946875;92,9717465309966;92,5227196903177;94,7434827870126;105,560091903163;110,766294173283;115,856842408492;119,631565839568;121,59647545706;121,675421270496;119,9792126686;116,504598618171;112,362714305541;108,467494117855;104,396029140735;101,441363683941;99,3889180486779;98,1506689574633;98,1646969511212;98,4252743134495;98,0652665736791;96,6515127386662;93,919604631642;89,9092061646054;85,3577922928162;80,7499423181779;76,3842924132148;72,414294909438;68,9491671956131;65,6933980674391;63,532615016694;61,772414554492;60,4975136309816;59,4427944777331;58,5764127824809;78,4885899606749; ;PARANA;18109,3437866714;24536,5267599651;32143,5988685039;39824,6509065231;40508,1296654264;35240,3532530478;27843,636068873;21786,4980419912; ;14288,5022681;15513,2943399;17130,7396317;18579,7822521;19750,0263705;20503,4001128;20999,6547727;21655,7023117;22844,6348125;23930,7756806067;25009,6747928603;25823,9179699385;26142,5359644646;26348,3724693854;26803,0210338049;28357,654544548;30845,0564605701;33126,8883861741;34795,3684539445;35530,0612576438;35547,0210151421;35375,3391102888;36224,4305322892;38138,7099933798;40019,7034158669;41858,9112012109;43222,7133696963;43932,6323998299;43961,1554091373;43348,3176710333;42092,9445918792;40596,4877228344;39189,1502487936;37718,1357847948;36650,6193877125;35909,0737197505;35461,6960968442;35466,7643908582;35560,9106185993;35430,840337919;34920,053102483;33933,0186167804;32484,0673953992;30839,6480832669;29174,8384880182;27597,5354309996;26163,1810197712;24911,2353404436;23734,9306182126;22954,2427972264;22318,28489166;21857,6650142478;21476,5964950283;21163,574029596;20948,6137642887
