Submercado
Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021; ;Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021
SIN;63,4997507524238;67,731558028933;81,2483991363717;82,3328671267107;88,5485395600514;88,3015513884845;79,9122872201289;89,1639063376262; ;63,8844964825763;62,8689882306655;63,5594282565079;64,5000340279183;64,2482031528285;62,7707666318372;62,5367030845684;63,3192504597064;64,5528014825301;65,6208775483319;67,4825693420682;69,406234080865;70,7716910238842;72,9674870264766;75,3595663175026;78,186060010953;80,7645076755075;82,4103508246298;83,77511317851;84,2114068270385;84,0345333735559;83,6445323548798;83,1475670243935;81,5070895309804;81,6642493853704;81,6041126096542;81,9909061501814;82,7843397970745;84,1461044282484;85,7135403651;87,3334571613548;88,9976711682238;90,6711385072984;91,2840348192634;91,6938397127117;91,756198409733;91,2313062794019;90,153498217647;88,6369652339253;87,3979925841788;85,3248999562264;83,6111242937188;82,0286911703228;80,8322829748262;79,8760952116112;79,5597939115783;79,4238887755567;79,2106666373272;78,4546082369062;77,80096875545;77,2522839481417;76,6601466576766;76,2338026924582;76,0606884320371;86,8333679831949; ;SIN;73832,4912953286;78752,9023237836;94469,2168223443;96148,3332746715;103586,897678502;103297,963060461;93483,9350333125;89109,2282519937; ;74279,8432209;73099,0904891;73901,8795803;74995,5416279;74702,7325905;72984,8861772;72712,7355843;73622,6198213;75056,8954535;76298,7698844489;78463,3979582114;80700,083274286;82287,7286849376;84840,8267259018;87622,1474608602;90908,5709278061;93906,5860773602;95820,2424073642;97407,0802046639;97914,3679754896;97708,7135034658;97255,2511437656;96677,4191365147;95349,5854958995;95533,4360917055;95463,0861789482;95915,5695638169;96843,7534774505;98436,7890510744;100270,425459026;102165,455645352;104112,306117434;106069,981431813;106786,967029435;107266,369826779;107339,319013742;106725,283506584;105464,429358512;103690,340843993;102240,951235385;99815,7815488301;97810,9522757772;95959,7716820518;94560,1753256988;93441,5964707374;93071,5771506574;92912,5910003606;92663,1569619755;91778,6958003064;91014,047547262;90372,1786098996;89679,4775758252;89180,7268463343;88978,2122789567;86780,1190562988
SUDESTE;65,4128250031883;73,4480703374908;88,1923703195034;87,9045864131864;98,954600979885;102,081061638074;90,7632093544474;107,557181107413; ;60,3995724984397;61,5563206268981;64,8678947254819;68,1354758285663;68,9077312270669;67,3191479425341;66,5960619383173;67,8068699660717;69,5221059170932;71,3945563391993;73,6029650321496;75,703673730553;77,0599678086078;79,0463018615979;81,5998295529921;85,1419874996305;88,2969302103725;90,2231136379371;91,0973738780069;90,9107766919694;90,0811408165761;88,7846789061997;87,3873785114158;88,2776421508285;87,5585173445403;86,921567323083;87,4270275373096;88,9653578884318;91,5849082564813;94,3136706576339;96,6073853092666;99,0308846573125;102,092685286967;103,868884529572;105,183731097064;105,88479453869;105,559971189301;104,440562318327;102,605138407976;101,029716433991;98,6218126510236;96,4274206571992;94,2789528836039;92,5246842324911;90,9473380362073;90,1113981834194;89,8834681743581;89,4064222207526;88,1902164616978;86,8868707083865;86,1916656142982;85,5242721335776;84,9490724131717;84,5094636900703;106,207605570685; ;SUDESTE;46288,5326354714;51974,5692173306;62408,1808351029;61066,1211831751;68229,8093108832;70385,5232687374;62581,7941295781;58882,4053615663; ;42740,9698729;43559,5276021;45902,9198303;48215,1809889;48761,6574515;47637,5172052;47125,8348233;47982,6473353;49196,4116895;50521,4268140988;52084,1784281915;53570,7175455423;54530,4813639108;55936,0847548712;57743,0553278884;60249,6172093692;62482,1712784238;63845,2098636612;64463,8687222626;64331,8256567756;63744,7446479394;62827,3202828217;61838,5388791389;60867,9801719353;60372,1391709318;59932,958192238;60281,4761357133;61342,1644258469;63148,3606039165;65029,8591541779;66611,3895908101;68282,4073782077;70393,5378465293;71618,2382083219;72524,8330476187;73008,2206259961;72784,252917885;72012,413578924;70746,8774424751;69660,6142490033;68000,3497001702;66487,3028503082;65005,9210342895;63796,3419509499;62708,7519943033;62132,366296354;61975,2071455871;61646,281010524;60807,6996186392;59909,0346618409;59429,6864503188;58969,5145182007;58572,9107539457;58269,7978208269;58143,5773911648
SUL;142,738281127009;82,8079044010447;57,648264955817;59,4137233080068;67,0469768941549;59,4023080890596;43,6095236358957;49,1785244783688; ;198,044138641075;176,042421697129;155,348174015204;136,309966650268;121,294167139843;108,820882981409;102,415029147922;97,9010204189754;93,3289917832693;83,3698217320106;82,1937585792698;79,0438038797005;74,3551977769084;69,4629524611772;65,3115714047496;61,7331476193971;58,6705300763268;57,018161130114;55,9142416608337;53,7143735797709;51,1753975715307;49,139019022699;48,7897367458437;61,3848242588415;66,313584195395;67,6867606097777;64,967664579474;61,3297496635812;58,3051154474412;59,2637550302362;66,0285231783759;72,8974084847005;73,8515297637928;71,0350051780376;67,9477553608494;66,375273323717;64,172953826767;61,4880234819758;59,2817999256276;57,8466428343765;54,930897655818;51,7200572064363;48,9947385105542;46,6945005153077;44,7053565839505;42,9501189577682;41,3741804679949;40,0592095968626;40,4886879110069;43,3833020753493;43,6096592326914;42,949735016318;44,4314299329905;49,4415502167634;54,2841072845911; ;SUL;11924,3978017143;6917,79658132328;4815,95293486908;4428,39707566279;4755,82778970461;4213,57025580035;3093,34430888343;3242,49868662833; ;16544,665333;14706,635457;12977,831946;11387,374528;10132,95024;9090,928429;8555,781524;8178,679913;7796,731302;6964,73931969178;6866,49065953914;6603,34252157311;6211,65499483675;5802,95538862219;5456,14779956837;5157,20522871248;4901,35326237429;4763,31387676399;4671,09212105263;4487,31449739927;4275,20769821255;4105,08803795448;4075,90889426979;4354,19561924771;4703,80621410046;4801,20942084008;4608,33640757644;4350,28902565053;4135,74334253168;4203,74230354919;4683,58604655076;5170,81510798455;5238,49357320483;5038,70968262812;4819,72250148313;4708,18199484983;4551,96537255621;4361,51582600413;4205,02227796325;4103,22261012828;3896,40072806525;3668,64692103553;3475,33251686577;3312,17026425596;3171,07477532132;3046,57090852787;2934,78522613446;2841,51069980561;2871,97478627304;3077,29778696529;3093,35392713975;3046,5436744973;3151,64439919813;3507,02610884546;3579,12622312406
NORDESTE;35,8478072671194;37,0717077886186;51,6554455668966;61,6897326410993;69,4178999884268;68,9729229460134;70,1087354149627;87,1725442662488; ;39,3325879973622;37,7417708507286;36,4641097031936;35,2686934182581;34,1612042746321;33,8071697147803;34,1591149108805;33,6283974046491;34,630284349955;34,4487930631123;35,8610508218697;37,8432359915145;40,1656092458765;42,9245836433532;45,7778403267855;48,404386667626;50,6795486214002;52,4739098880265;53,9572609583158;54,8685061087437;55,4266663973786;56,3899725605283;57,6412883499347;59,7715162649087;61,5766155294296;64,1362173011833;65,6296935409429;66,7802177687358;67,6932050774003;68,3579267650577;69,0717006882786;69,6878687384229;70,2326986417308;70,5045178281774;70,3773821799199;70,1588838513498;69,7489935210489;69,2895029949515;68,9161633758329;68,8180020514992;67,9823790998601;67,8965357275516;68,3171619890055;68,6934327407146;69,397538746298;70,1942086479862;70,8986379683341;71,4122831668478;71,847884645553;72,1098642316896;72,0685175169262;71,8190907102487;71,2063524966236;70,2992651071714;84,8233559018053; ;NORDESTE;5152,10934071429;5328,01045683932;7424,01066879404;8800,85714392843;9873,99092280497;9810,69745990306;9972,25524269804;10115,7152864543; ;5652,948101;5424,313088;5240,685401;5068,878089;4909,707819;4858,825355;4909,407532;4833,131887;4977,124825;4951,04058092803;5154,01272748563;5438,89583488057;5772,67136673572;6169,19597584534;6579,27099942009;6956,76281741687;7283,75305886546;7541,64178755433;7754,8315887561;7885,79733001376;7966,0170995317;8104,46514027653;8284,30642648813;8501,89085438183;8758,64788326938;9122,72522736226;9335,15704735781;9498,80742836312;9628,67059621884;9723,22050209637;9824,74759006637;9912,39123435786;9989,88775212391;10028,5512694597;10010,4675153117;9979,38834821926;9921,08561360165;9855,72775511621;9802,623987775;9788,66153679905;9669,80266263624;9657,592315174;9717,42212691105;9770,94281808021;9871,09474300135;9984,41294160793;10084,6108547691;10157,6716651439;10219,6315493727;10256,895483544;10251,01433349;10215,5359046489;10128,380119752;9999,35615545551;9843,10972183547
NORTE;45,9457517791625;63,7889589788048;87,0024638008949;85,3912795082622;77,5857613046881;70,7017004437304;66,7652644499768;62,4858198176119; ;41,0024549527333;41,2980999647941;42,9301992171086;45,3165609346525;47,8374287294025;50,0286050936404;53,2069488174058;55,4299521082347;57,4423434428898;60,8438395541823;63,0260390196273;66,2233217086002;69,2335388445599;74,3237839403381;78,3228835086174;81,4012185324441;84,4488737537659;86,3396852875293;90,058426314332;93,0965122798208;95,3496469297544;97,5251773792203;98,6676802644055;80,9480636634899;81,2225279980177;80,8757249245903;81,1916735815215;81,0490310726506;80,5681153260973;79,7805104650767;78,7778225993666;77,6584639921271;76,540639652131;75,2432767996359;74,5316205590517;73,5291286993311;72,8720204667672;71,9990847502908;70,8800441568877;69,954116740043;68,3100237847719;67,3674243776852;66,4828594409298;66,1819992274745;66,2192612658238;67,0335962649589;67,0701325170016;67,4433486476489;66,9256537859992;66,5192566012361;65,872826616978;65,3104506940956;64,8609258876893;64,3901867420819;56,3578402071657; ;NORTE;10467,4515174286;14532,5260682904;19821,0723835783;21852,9578719052;20727,2696551091;18888,1720760198;17836,5413521529;16868,6089173448; ;9341,259914;9408,614342;9780,442403;10324,108022;10898,41708;11397,615188;12121,711705;12628,160686;13086,627637;13861,5631697302;14358,7161429952;15087,1273722901;15772,9209594543;16932,590606563;17843,6733339833;18544,9856723075;19239,3084776967;19670,0768793847;20517,2877725926;21209,430491301;21722,7440577822;22218,3776827129;22478,6649366179;21625,5188503346;21698,8428234039;21606,1933385078;21690,5999731694;21652,49259759;21524,0145084075;21313,6034992026;21045,7324179244;20746,6923968836;20448,0622599548;20101,4678690254;19911,3467623651;19643,528044677;19467,9796025414;19234,7721984672;18935,81713578;18688,4528394547;18249,2284579584;17997,4101892595;17761,0960039855;17680,7202924127;17690,6749581113;17908,2270041676;17917,9877738699;18017,693586502;17879,3898460214;17770,8196149118;17598,1238989511;17447,8834784783;17327,7915734384;17202,0321938288;15214,3057201745

REE
Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021; ;Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021
SIN;63,4997762691455;67,7078552150031;81,165957076031;82,6132337442519;88,1786786408707;89,0798375746063;79,5491067388782;89,3490119853528; ;63,8845221539042;62,8690134939218;63,5594537972105;64,5000599465936;64,2482289703082;62,7707918556242;62,5367282142994;63,319275903896;64,5528274224095;66,1241766682657;67,272272307561;68,8991084317329;70,5220387883123;73,265282903704;75,8798519192679;78,4660223197521;80,4420105016804;81,6959703501074;83,1452347765931;84,0443136300712;84,4910402889431;84,5728646848689;84,1813879112605;82,2523234052174;82,0104484366496;81,5476770175227;81,615489332672;82,1337447194153;83,2199480587842;84,5549099707719;86,0422816418732;88,0498635320946;90,4521227120615;91,9037624750165;93,0278889108034;93,3682240921805;92,5163362736233;90,9388579147386;89,2791613903905;87,9722740131784;85,6956378152687;83,7895143518839;81,9661223131061;80,4612426129958;79,3637286085196;79,1775900449985;79,098605620812;78,7628143114287;78,0137039711851;77,4858539677846;77,1324346544601;76,8749237322078;76,7742768829867;76,5455865928665;87,0016207916834; ;SIN;73832,4912953286;78725,3109302073;94373,3217876692;96475,7275272078;103154,21231272;104208,416587618;93059,0656642715;89294,2308237432; ;74279,8432209;73099,0904891;73901,8795802999;74995,5416279;74702,7325905;72984,8861772;72712,7355843;73622,6198213;75056,8954535;76883,9354264419;78218,8497564576;80110,4054600202;81997,4198475543;85187,0460032772;88227,0589832357;91234,0523114116;93531,5742683949;94989,5790840538;96674,6685353867;97720,0459449366;98239,4641868648;98334,6030889977;97879,4250210113;96221,3741749549;95938,4211726494;95397,0565031321;95476,3854981017;96082,6570710072;97353,3321549511;98915,0128993339;100654,987409199;103003,520316825;105813,759223781;107511,933415291;108826,97213906;109225,10701813;108228,541654978;106383,157486614;104441,591903118;102912,753639088;100249,472477045;98019,628851955;95886,567068806;94126,111111845;92842,2044534677;92624,4536638552;92532,0551817332;92139,2358680988;91262,9028556951;90645,4071962079;90231,9660850004;89930,7216486323;89812,9817753071;89545,4526276206;86948,278849305
PARANA;47,3642311590583;63,3378074833792;71,1128987981136;74,4924688146707;95,2337537639891;93,1710247240001;76,336780978209;96,6841697098721; ;37,370979993274;40,574372423938;44,8047329268034;48,5946432869164;51,6553678272071;53,6257853365221;54,9237186411271;56,6395835368721;59,7491867595938;62,5702813776717;64,9531220042025;66,0339333483877;66,5803273030637;66,8383343421023;67,2555159500637;68,7464583958644;70,7259423123722;72,0706633039071;72,6266934536081;73,0290066781702;73,3358629122927;73,0892888419368;72,4902326110952;75,7597206653647;74,6136136049575;74,0667628546909;74,2934849127166;77,3329535199084;82,8067987308199;88,6951770664739;94,0557478411131;98,0447730015029;99,4532449021106;101,380874233771;102,199239022163;101,332191635267;99,506885608345;97,0945751369973;93,9800077943063;90,3154499455786;86,7708216316926;83,1976531259161;80,0302140474197;77,2483530037926;74,9916257303447;74,0044388363754;74,924794724405;76,3079087911766;76,8500954486512;76,2900902574142;74,169063472323;72,0481368811708;70,315234967305;68,7154045713242;90,6969869239093; ;PARANA;18109,3437866714;24216,7159128722;27189,4613400797;27361,9054921825;34407,8188158236;33662,5577684646;27580,3696175905;25805,0161098299; ;14288,5022681;15513,2943399;17130,7396317;18579,7822521;19750,0263705;20503,4001128;20999,6547727;21655,7023117;22844,6348125;23923,2583020682;24834,3188014941;25247,5585759276;25456,4680362112;25555,115012104;25714,6211409944;26284,6713382936;27041,5115505593;27555,6551170638;27768,2489012398;27922,0702198853;28039,3943039214;27945,118634293;27716,0741641014;27371,8785531791;26957,7917140133;26760,215321287;26842,1296760801;27940,2853299233;29917,977763529;32045,4404212996;33982,2069633418;35423,4360396481;35932,3149197497;36628,7646360153;36924,4386617817;36611,1756829119;35951,6952300737;35080,1309123283;33954,8421929256;32630,8426915344;31350,1735592867;30059,1928965917;28914,8016947794;27909,7192846381;27094,3669534262;26737,6977427467;27070,2210067133;27569,9381377742;27765,8294004559;27563,5003270502;26797,1763878954;26030,8886486671;25404,7936695103;24826,777239145;24207,0363298112
