PREVS;Tipo;Nome;Semana;ENA_Percentual_MLT;ENA_MWmes
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;1;75,785372903742;85215,6181671429
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;2;63,5470462828721;73887,4828
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;3;67,7051286406427;78722,17232
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;4;83,5941867296887;97196,71323
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;5;86,6246987572941;101160,334828571
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;6;89,9920970845593;105275,61718
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;M;73,0135670732671;84894,4049622449
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;1;62,6131860346783;43444,15176
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;2;65,3830046480318;46267,43065
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;3;73,1103320467947;51735,57312
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;4;86,2990250299183;61068,37973
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;5;90,9447501466111;63178,0816
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;6;93,939662736948;64771,97838
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;M;73,538344049035;52038,4502321429
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;1;308,829333533585;25115,17815
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;2;142,75679013905;11925,94405
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;3;83,5870232726816;6982,8844
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;4;60,5934277848054;5061,9927
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;5;83,2083371555362;6201,9267
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;6;80,7696330177952;5729,2138
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;M;130,721989646658;10920,5532928571
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;1;47,0017363367198;6659,5591
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;2;36,366374310389;5226,6387
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;3;37,5782862761563;5400,8168
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;4;55,0021286880034;7905,0018
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;5;59,4883152083422;8486,7958
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;6;75,6760269873497;10764,1459
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;M;44,7289385447584;6428,52100714286
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;1;48,1602099416218;9996,72915714286
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;2;45,945830272785;10467,4694
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;3;64,097848998612;14602,898
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;4;101,664204586491;23161,339
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;5;91,0203737561284;23293,5307285714
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;6;89,874634436107;24010,2791
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;M;68,0657825760484;15506,880430102
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;REE;SIN;1;75,785395396974;85215,6181671429
202102-prevs-ECMWF_ENS_EXT-29-2021-Diaria-IA+SMAP.rv3;REE;SIN;2;63,5470718185991;73887,4828
