PREVS;Tipo;Nome;Semana;ENA_Percentual_MLT;ENA_MWmes
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;1;75,785372903742;85215,6181671429
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;2;63,5470462828721;73887,4828
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;3;67,7776864707168;78806,53683
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;4;80,8413499408;93995,93219
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;5;83,4384281008505;97439,4075285714
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;6;88,9281969436117;104031,03296
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;M;72,1149123763248;83849,5203083163
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;1;62,6131860346783;43444,15176
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;2;65,3830046480318;46267,43065
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;3;72,6772744094922;51429,12553
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;4;85,345963816264;60393,95839
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;5;88,6892147178767;61611,1918
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;6;93,554718807279;64506,55716
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;M;73,0336531515162;51681,3122996429
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;1;308,829333533585;25115,17815
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;2;142,75679013905;11925,94405
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;3;86,3842590988546;7216,5663
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;4;58,0285911919252;4847,7255
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;5;80,8145853204089;6023,5086
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;6;78,3064738875937;5554,4951
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;M;130,627538517343;10912,6628178571
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;1;47,0017363367198;6659,5591
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;2;36,366374310389;5226,6387
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;3;37,4220280820801;5378,3591
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;4;54,0299097519563;7765,2728
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;5;58,1788314213858;8299,9806
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;6;74,1736391795459;10550,4465
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;M;44,3539735828966;6374,63038928571
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;1;48,1602099416218;9996,72915714286
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;2;45,945830272785;10467,4694
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;3;64,886130755848;14782,4859
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;4;92,1288488240189;20988,9755
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;5;84,0305520430626;21504,7265285714
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;6;87,6633739292479;23419,5342
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;M;65,3181738247929;14880,9148015306
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;SIN;1;75,785395396974;85215,6181671429
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;SIN;2;63,5470718185991;73887,4828
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;SIN;3;67,777713706483;78806,53683
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;SIN;4;80,8413824260651;93995,93219
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;SIN;5;83,4384436001182;97439,4075285714
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;SIN;6;88,9282058230256;104031,03296
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;SIN;M;72,1149413549607;83849,5203083164
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;PARANA;1;36,6565372330196;13909,99524
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;PARANA;2;47,4142381002633;18128,46355
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;PARANA;3;63,4294472715155;24251,75367
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;PARANA;4;72,9735482157344;27900,86611
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;PARANA;5;75,9715523775343;27905,1892
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;PARANA;6;84,4285202905538;30503,90344
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;PARANA;M;57,6641213834799;22047,4263539286
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;1;89,6032277875096;3386,5648
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;2;54,7579972546369;2088,3025
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;3;45,9165696816178;1751,1175
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;4;35,7263055498256;1362,492
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;5;51,0785797374452;1709,4098
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;6;57,8832866494065;1828,9966
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;M;53,1590203984916;2027,32241428571
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;IGUACU;1;328,93804214459;14391,98675
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;IGUACU;2;168,315908399813;7487,79475
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;IGUACU;3;87,9215571293944;3911,3271
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;IGUACU;4;60,036477523473;2670,816
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;IGUACU;5;76,3188829696094;3118,2458
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;IGUACU;6;76,9871550181896;3033,8129
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;IGUACU;M;141,845420026776;6310,21393928571
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;SUL;1;285,411922380154;10723,1914
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;SUL;2;113,642110476377;4438,1493
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;SUL;3;84,6331055868832;3305,2392
202102-prevs-ECMWF_ENS_EXT-18-2021-Diaria-IA+SMAP.rv3;REE;SUL;4;55,7413852427349;2176,9095
